country_code,company_code,account_number,vendor_name,vendor_group,vendor_country_code,resident_foreigner_indicator,document_number,document_header_text,financial_line_number,item_text,document_date,posting_date,entry_date,fiscal_year,fiscal_period,document_type,document_status_indicator,reference_number,reference_key,assignment_number,transaction_code,posting_key,clearing_document,clearing_date,clearing_fiscal_year,invoice_number,invoice_line_number,invoice_fiscal_year,currency_key,amount_document_currency,local_currency,amount_local_currency,second_local_currency,second_local_currency_amount,debit_credit_indicator,general_ledger_account,general_ledger_account_name,special_gl_transaction_type,special_gl_indicator,sales_tax_code,baseline_date,due_date,real_difference,payment_terms_code,payment_terms_description,payment_terms_days,payment_terms_date_indicator,company_payment_terms_code,company_payment_terms_description,company_payment_terms_days,company_payment_terms_date_indicator,cash_discount_days_1,cash_discount_percentage_1,cash_discount_days_2,cash_discount_percentage_2,net_payment_terms_period,eligible_cash_discount_document_amount,cash_discount_local_amount,cash_discount_document_amount,payment_method,payment_date,payment_on_time,payment_block,last_dunned_date,partner_bank_type,settlement_reference_date,third_currency_penalty_amount,general_ledger_updating_amount,general_ledger_update_currency,purchasing_document_number,purchasing_line_number,username,exchange_rate,vendor_blocking_request_1,vendor_blocking_request_2,vendor_blocking_request_3,id_for_account_details,short_key_for_a_house_bank,__partition_column,__insert_gmt_ts,__update_gmt_ts,Key,amount_w_cents,reference_w_words,reference_words,uuid,ID,status,key,indexes,Logic
DO,DO02,PPA01,CERVECERIA NACIONAL S DE RL (NAME A,VICO,PA,Foreigner,5100008888,E470000030010,1,PRESIDENTE LATA 355ML 6X4 PA,2025-11-25,2025-12-08,2025-12-08,2025,12,RE,,NP01001000034000,51056148302025,4500017300,MIRO,31,2000035681,2026-01-23,2026,,0,0,USD,-19684.000000,DOP,-1275367.700000,USD,-19684.000000,H,0059020101,Cuentas por pagar comerciales intercompa  a,,,RA,2025-12-06,2026-01-05,60,H030,FD - Fixed date 14 - (30days),030,Fecha Documento,A000,,000,Fecha Documento,30,0.000,0,0.000,0,19684.000000,0.000000,0.000000,1,2026-01-23,OUT,,None,0001,None,0.000000,19684.000000,USD,,00000,SAP_WFRT,64.79210,,,,,CIT02,2025,2026-03-19T16:10:28.000Z,2026-03-19T16:10:28.000Z,5100008888DO022025,-19684,272654032,NP,,13,Duplicated,PPA01|-19684.000000|2025-11-25|USD|DO02,45.0,account_number|amount_document_currency|document_date|currency_key|company_code
DO,DO02,PPA01,CERVECERIA NACIONAL S DE RL (NAME A,VICO,PA,Foreigner,5100007954,E470000030073,1,PRESIDENTE 20167,2025-11-25,2025-12-11,2025-12-11,2025,12,RE,,1-001-0000034069,51056156062025,4500017301,MIRO,31,2000035681,2026-01-23,2026,,0,0,USD,-19684.000000,DOP,-1264132.070000,USD,-19684.000000,H,0059020101,Cuentas por pagar comerciales intercompa  a,,,RA,2025-12-06,2026-01-05,60,H030,FD - Fixed date 14 - (30days),030,Fecha Documento,A000,,000,Fecha Documento,30,0.000,0,0.000,0,19684.000000,0.000000,0.000000,1,2026-01-23,OUT,,None,0001,None,0.000000,19684.000000,USD,,00000,SAP_WFRT,64.22130,,,,,CIT02,2025,2026-03-19T16:10:28.000Z,2026-03-19T16:10:28.000Z,5100007954DO022025,-19684,-1568732907,,,13,Duplicated,PPA01|-19684.000000|2025-11-25|USD|DO02,120.0,account_number|amount_document_currency|document_date|currency_key|company_code
DO,DO02,PMX02,COMPANIA CERVECERA DEL TRÓPICO,VICO,MX,Foreigner,5100010202,E4700030333,1,REPROGRAMACION RITM19113783 ICO RD,2025-10-28,2025-12-22,2025-12-22,2025,12,RE,,BCB563422,51056179652025,4500006088,MIRO,31,2000010089,2026-01-29,2026,,0,0,MXN,-293706.000000,DOP,-1025377.580000,USD,-16312.430000,H,0059020101,Cuentas por pagar comerciales intercompa  a,,,RA,2026-01-20,2026-01-20,94,A000,,000,Fecha Documento,A000,,000,Fecha Documento,0,0.000,0,0.000,0,293706.000000,0.000000,0.000000,1,2026-01-29,IN,,None,,None,0.000000,293706.000000,MXN,,00000,SAP_WFRT,3.49117,,,,,,2025,2026-03-19T16:10:28.000Z,2026-03-19T16:10:28.000Z,5100010202DO022025,-293706,563422,BCB,,14,Original,PMX02|-293706.000000|2025-10-28|MXN|DO02,38.0,account_number|amount_document_currency|document_date|currency_key|company_code
DO,DO02,PMX02,COMPANIA CERVECERA DEL TRÓPICO,VICO,MX,Foreigner,5100011475,E4700030383,1,REPROGRAMACION RITM19113783 ICO RD,2025-10-28,2025-12-24,2025-12-24,2025,12,RE,,BCB563410,51056183152025,4500006088,MIRO,31,2000010089,2026-01-29,2026,,0,0,MXN,-293706.000000,DOP,-1027410.020000,USD,-16335.930000,H,0059020101,Cuentas por pagar comerciales intercompa  a,,,RA,2026-01-20,2026-01-20,94,A000,,000,Fecha Documento,A000,,000,Fecha Documento,0,0.000,0,0.000,0,293706.000000,0.000000,0.000000,1,2026-01-29,IN,,None,,None,0.000000,293706.000000,MXN,,00000,SAP_WFRT,3.49809,,,,,,2025,2026-03-19T16:10:28.000Z,2026-03-19T16:10:28.000Z,5100011475DO022025,-293706,563410,BCB,,14,Duplicated,PMX02|-293706.000000|2025-10-28|MXN|DO02,44.0,account_number|amount_document_currency|document_date|currency_key|company_code
DO,DO02,PMX03,"COMPAÑÍA CERVECERA DE ZACATECAS,",VICO,MX,Foreigner,5100011472,E4700030428,1,REPROGRAMACION RITM19113783 ICO RD,2025-11-23,2025-12-26,2025-12-26,2025,12,RE,,BGB1113280,51056185342025,4500037612,MIRO,31,2000055410,2026-01-29,2026,,0,0,MXN,-293706.000000,DOP,-1031078.410000,USD,-16385.860000,H,0059020101,Cuentas por pagar comerciales intercompa  a,,,RA,2026-01-20,2026-01-20,68,A000,,000,Fecha Documento,A000,,000,Fecha Documento,0,0.000,0,0.000,0,293706.000000,0.000000,0.000000,1,2026-01-29,IN,,None,,None,0.000000,293706.000000,MXN,,00000,SAP_WFRT,3.51058,,,,,,2025,2026-03-19T16:10:28.000Z,2026-03-19T16:10:28.000Z,5100011472DO022025,-293706,1113280,BGB,,15,Original,PMX03|-293706.000000|2025-11-23|MXN|DO02,6.0,account_number|amount_document_currency|document_date|currency_key|company_code
DO,DO02,PMX03,"COMPAÑÍA CERVECERA DE ZACATECAS,",VICO,MX,Foreigner,5100011736,E4700030427,1,REPROGRAMACION RITM19113783 ICO RD,2025-11-23,2025-12-26,2025-12-26,2025,12,RE,,BGB1113296,51056185332025,4500037612,MIRO,31,2000055410,2026-01-29,2026,,0,0,MXN,-293706.000000,DOP,-1031078.410000,USD,-16385.860000,H,0059020101,Cuentas por pagar comerciales intercompa  a,,,RA,2026-01-20,2026-01-20,68,A000,,000,Fecha Documento,A000,,000,Fecha Documento,0,0.000,0,0.000,0,293706.000000,0.000000,0.000000,1,2026-01-29,IN,,None,,None,0.000000,293706.000000,MXN,,00000,SAP_WFRT,3.51058,,,,,,2025,2026-03-19T16:10:28.000Z,2026-03-19T16:10:28.000Z,5100011736DO022025,-293706,1113296,BGB,,15,Duplicated,PMX03|-293706.000000|2025-11-23|MXN|DO02,96.0,account_number|amount_document_currency|document_date|currency_key|company_code
DO,DO02,PMX03,"COMPAÑÍA CERVECERA DE ZACATECAS,",VICO,MX,Foreigner,5100012470,E4700030617,1,REPROGRAMACION RITM19113783 ICO RD,2025-12-22,2025-12-31,2026-01-02,2025,12,RE,,BGB1114263,51056195272025,4500049176,MIRO,31,2000055410,2026-01-29,2026,,0,0,MXN,-326357.640000,DOP,-1147679.070000,USD,-18129.170000,H,0059020101,Cuentas por pagar comerciales intercompa  a,,,RA,2026-01-20,2026-01-20,39,A000,,000,Fecha Documento,A000,,000,Fecha Documento,0,0.000,0,0.000,0,326357.640000,0.000000,0.000000,1,2026-01-29,IN,,None,,None,0.000000,326357.640000,MXN,,00000,SAP_WFRT,3.51663,,,,,,2025,2026-03-19T16:10:28.000Z,2026-03-19T16:10:28.000Z,5100012470DO022025,-326357,1114263,BGB,,16,Duplicated,PMX03|-326357.640000|2025-12-22|MXN|DO02,67.0,account_number|amount_document_currency|document_date|currency_key|company_code
DO,DO02,PMX03,"COMPAÑÍA CERVECERA DE ZACATECAS,",VICO,MX,Foreigner,5100012217,E4700030731,1,REPROGRAMACION RITM19113783 ICO RD,2025-12-22,2025-12-31,2026-01-02,2025,12,RE,,BGB1114260,51056196542025,,MIRO,31,2000055410,2026-01-29,2026,,0,0,MXN,-326357.640000,DOP,-1147679.070000,USD,-18129.170000,H,0059020101,Cuentas por pagar comerciales intercompa  a,,,RA,2026-01-20,2026-01-20,39,A000,,000,Fecha Documento,A000,,000,Fecha Documento,0,0.000,0,0.000,0,326357.640000,0.000000,0.000000,1,2026-01-29,IN,,None,,None,0.000000,326357.640000,MXN,,00000,SAP_WFRT,3.51663,,,,,,2025,2026-03-19T16:10:28.000Z,2026-03-19T16:10:28.000Z,5100012217DO022025,-326357,1114260,BGB,,16,Original,PMX03|-326357.640000|2025-12-22|MXN|DO02,40.0,account_number|amount_document_currency|document_date|currency_key|company_code
DO,DO02,PMX08,CERVECERIA YUCATECA S DE RL DE CV,VICO,MX,Foreigner,5100000996,E470000028146,1,REPROGRAMACION RITM18766694,2025-09-10,2025-09-30,2025-10-01,2025,9,RE,,C01911434,51056021392025,4500011718,MIRO,31,2000148096,2025-11-28,2025,,0,0,MXN,-359509.920000,DOP,-1231116.560000,USD,-19607.670000,H,0059020101,Cuentas por pagar comerciales intercompa  a,,,RA,2025-09-10,2025-09-10,80,A000,,000,Fecha Documento,A000,,000,Fecha Documento,0,0.000,0,0.000,0,359509.920000,0.000000,0.000000,1,2025-11-28,IN,,None,,None,0.000000,359509.920000,MXN,,00000,SAP_WFRT,3.42443,,,,,CIT01,2025,2026-03-19T16:10:28.000Z,2026-03-19T16:10:28.000Z,5100000996DO022025,-359509,1911434,C,,17,Original,PMX08|-359509|MXN|DO02,1.0,account_number|amount_w_cents|currency_key|company_code
DO,DO02,PMX08,CERVECERIA YUCATECA S DE RL DE CV,VICO,MX,Foreigner,5100001020,E470000028153,1,REPROGRAMACION RITM18766694,2025-09-29,2025-09-30,2025-10-01,2025,9,RE,,C01911742,51056021582025,4500011725,MIRO,31,2000148096,2025-11-28,2025,,0,0,MXN,-359509.920000,DOP,-1231116.560000,USD,-19607.670000,H,0059020101,Cuentas por pagar comerciales intercompa  a,,,RA,2025-09-29,2025-09-29,61,A000,,000,Fecha Documento,A000,,000,Fecha Documento,0,0.000,0,0.000,0,359509.920000,0.000000,0.000000,1,2025-11-28,IN,,None,,None,0.000000,359509.920000,MXN,,00000,SAP_WFRT,3.42443,,,,,CIT01,2025,2026-03-19T16:10:28.000Z,2026-03-19T16:10:28.000Z,5100001020DO022025,-359509,1911742,C,,17,Duplicated,PMX08|-359509|MXN|DO02,32.0,account_number|amount_w_cents|currency_key|company_code
DO,DO02,PMX08,CERVECERIA YUCATECA S DE RL DE CV,VICO,MX,Foreigner,5100001719,E470000028396,1,REPROGRAMACION RITM18766694,2025-10-13,2025-10-20,2025-10-20,2025,10,RE,,C01911894,51056048182025,4500017901,MIRO,31,2000148096,2025-11-28,2025,,0,0,MXN,-359509.920000,DOP,-1249753.550000,USD,-19532.170000,H,0059020101,Cuentas por pagar comerciales intercompa  a,,,RA,2025-10-13,2025-10-13,47,A000,,000,Fecha Documento,A000,,000,Fecha Documento,0,0.000,0,0.000,0,359509.920000,0.000000,0.000000,1,2025-11-28,IN,,None,,None,0.000000,359509.920000,MXN,,00000,SAP_WFRT,3.47627,,,,,CIT01,2025,2026-03-19T16:10:28.000Z,2026-03-19T16:10:28.000Z,5100001719DO022025,-359509,1911894,C,,17,Duplicated,PMX08|-359509|MXN|DO02,48.0,account_number|amount_w_cents|currency_key|company_code
DO,DO02,PMX03,"COMPAÑÍA CERVECERA DE ZACATECAS,",VICO,MX,Foreigner,5100012217,E4700030731,1,REPROGRAMACION RITM19113783 ICO RD,2025-12-22,2025-12-31,2026-01-02,2025,12,RE,,BGB1114260,51056196542025,,MIRO,31,2000055410,2026-01-29,2026,,0,0,MXN,-326357.640000,DOP,-1147679.070000,USD,-18129.170000,H,0059020101,Cuentas por pagar comerciales intercompa  a,,,RA,2026-01-20,2026-01-20,39,A000,,000,Fecha Documento,A000,,000,Fecha Documento,0,0.000,0,0.000,0,326357.640000,0.000000,0.000000,1,2026-01-29,IN,,None,,None,0.000000,326357.640000,MXN,,00000,SAP_WFRT,3.51663,,,,,,2025,2026-03-19T16:10:28.000Z,2026-03-19T16:10:28.000Z,5100012217DO022025,-326357,1114260,BGB,,18,Duplicated,PMX03|-326357|MXN|DO02,40.0,account_number|amount_w_cents|currency_key|company_code
DO,DO02,PMX03,"COMPAÑÍA CERVECERA DE ZACATECAS,",VICO,MX,Foreigner,5100012470,E4700030617,1,REPROGRAMACION RITM19113783 ICO RD,2025-12-22,2025-12-31,2026-01-02,2025,12,RE,,BGB1114263,51056195272025,4500049176,MIRO,31,2000055410,2026-01-29,2026,,0,0,MXN,-326357.640000,DOP,-1147679.070000,USD,-18129.170000,H,0059020101,Cuentas por pagar comerciales intercompa  a,,,RA,2026-01-20,2026-01-20,39,A000,,000,Fecha Documento,A000,,000,Fecha Documento,0,0.000,0,0.000,0,326357.640000,0.000000,0.000000,1,2026-01-29,IN,,None,,None,0.000000,326357.640000,MXN,,00000,SAP_WFRT,3.51663,,,,,,2025,2026-03-19T16:10:28.000Z,2026-03-19T16:10:28.000Z,5100012470DO022025,-326357,1114263,BGB,,18,Duplicated,PMX03|-326357|MXN|DO02,67.0,account_number|amount_w_cents|currency_key|company_code
