country_code,company_code,account_number,vendor_name,vendor_group,vendor_country_code,resident_foreigner_indicator,document_number,document_header_text,financial_line_number,item_text,document_date,posting_date,entry_date,fiscal_year,fiscal_period,document_type,document_status_indicator,reference_number,reference_key,assignment_number,transaction_code,posting_key,clearing_document,clearing_date,clearing_fiscal_year,invoice_number,invoice_line_number,invoice_fiscal_year,currency_key,amount_document_currency,local_currency,amount_local_currency,second_local_currency,second_local_currency_amount,debit_credit_indicator,general_ledger_account,general_ledger_account_name,special_gl_transaction_type,special_gl_indicator,sales_tax_code,baseline_date,due_date,real_difference,payment_terms_code,payment_terms_description,payment_terms_days,payment_terms_date_indicator,company_payment_terms_code,company_payment_terms_description,company_payment_terms_days,company_payment_terms_date_indicator,cash_discount_days_1,cash_discount_percentage_1,cash_discount_days_2,cash_discount_percentage_2,net_payment_terms_period,eligible_cash_discount_document_amount,cash_discount_local_amount,cash_discount_document_amount,payment_method,payment_date,payment_on_time,payment_block,last_dunned_date,partner_bank_type,settlement_reference_date,third_currency_penalty_amount,general_ledger_updating_amount,general_ledger_update_currency,purchasing_document_number,purchasing_line_number,username,exchange_rate,vendor_blocking_request_1,vendor_blocking_request_2,vendor_blocking_request_3,id_for_account_details,short_key_for_a_house_bank,__partition_column,__insert_gmt_ts,__update_gmt_ts,Key,amount_w_cents,reference_w_words,reference_words,uuid
DO,DO02,PMX03,"COMPAÑÍA CERVECERA DE ZACATECAS,",VICO,MX,Foreigner,5100000771,E470000028242,1,REPROGRAMACION RITM18766694,2025-09-27,2025-09-30,2025-10-02,2025,9,RE,,BGB1111361,51056023292025,4500012229,MIRO,31,2000147899,2025-11-28,2025,,0,0,MXN,-326357.640000,DOP,-1117588.890000,USD,-17799.550000,H,0059020101,Cuentas por pagar comerciales intercompa  a,,,RA,2025-09-27,2025-09-27,63,A000,,000,Fecha Documento,A000,,000,Fecha Documento,0,0.000,0,0.000,0,326357.640000,0.000000,0.000000,1,2025-11-28,IN,,,,,0.000000,326357.640000,MXN,,00000,SAP_WFRT,3.42443,,,,,CIT01,2025,2026-03-19T16:10:28.000Z,2026-03-19T16:10:28.000Z,5100000771DO022025,-326357,1111361,BGB,
DO,DO02,PMX03,"COMPAÑÍA CERVECERA DE ZACATECAS,",VICO,MX,Foreigner,5100011736,E4700030427,1,REPROGRAMACION RITM19113783 ICO RD,2025-11-23,2025-12-26,2025-12-26,2025,12,RE,,BGB1113296,51056185332025,4500037612,MIRO,31,2000055410,2026-01-29,2026,,0,0,MXN,-293706.000000,DOP,-1031078.410000,USD,-16385.860000,H,0059020101,Cuentas por pagar comerciales intercompa  a,,,RA,2026-01-20,2026-01-20,68,A000,,000,Fecha Documento,A000,,000,Fecha Documento,0,0.000,0,0.000,0,293706.000000,0.000000,0.000000,1,2026-01-29,IN,,,,,0.000000,293706.000000,MXN,,00000,SAP_WFRT,3.51058,,,,,,2025,2026-03-19T16:10:28.000Z,2026-03-19T16:10:28.000Z,5100011736DO022025,-293706,1113296,BGB,
DO,DO02,12686369,ZZ GLASS INC,VSUP,PA,Foreigner,5100003698,E470000029039,1,CND 0650 ML (22 Oz) EG,2025-10-10,2025-11-05,2025-11-05,2025,11,RE,,ZZFC-646-2025,51056080022025,4500013766,MIRO,31,2000114877,2026-03-02,2026,,0,0,USD,-158941.440000,DOP,-10264390.510000,USD,-158941.440000,H,0055010101,Cuentas por pagar comerciales - terceros,,,RA,2025-10-27,2026-03-01,144,P125,FD - Fixed date 1 - (125days),125,Fecha Contabilizacion,G130,FD - Fixed date 4 - (130days),130,Fecha Documento,125,0.000,0,0.000,0,158941.440000,0.000000,0.000000,1,2026-03-02,OUT,,,,,0.000000,158941.440000,USD,,00000,SAP_WFRT,64.57970,,,,,CIT02,2025,2026-03-19T16:10:28.000Z,2026-03-19T16:10:28.000Z,5100003698DO022025,-158941,6462025,ZZFC,
DO,DO02,PMX02,COMPANIA CERVECERA DEL TRÓPICO,VICO,MX,Foreigner,5100002992,E470000028588,1,REPROGRAMACION RITM18766694,2025-10-21,2025-10-29,2025-10-29,2025,10,RE,,BCB563102,51056066432025,4500020738,MIRO,31,2000147898,2025-11-28,2025,,0,0,MXN,-294129.360000,DOP,-1028799.790000,USD,-15974.170000,H,0059020101,Cuentas por pagar comerciales intercompa  a,,,RA,2025-10-21,2025-10-21,39,A000,,000,Fecha Documento,A000,,000,Fecha Documento,0,0.000,0,0.000,0,294129.360000,0.000000,0.000000,1,2025-11-28,IN,,,,,0.000000,294129.360000,MXN,,00000,SAP_WFRT,3.49778,,,,,CIT01,2025,2026-03-19T16:10:28.000Z,2026-03-19T16:10:28.000Z,5100002992DO022025,-294129,563102,BCB,
DO,DO02,PMX03,"COMPAÑÍA CERVECERA DE ZACATECAS,",VICO,MX,Foreigner,5100010734,E4700030414,1,REPROGRAMACION RITM19113783 ICO RD,2025-11-29,2025-12-26,2025-12-26,2025,12,RE,,BGB1113488,51056185132025,4500037612,MIRO,31,2000055410,2026-01-29,2026,,0,0,MXN,-293706.000000,DOP,-1031078.410000,USD,-16385.860000,H,0059020101,Cuentas por pagar comerciales intercompa  a,,,RA,2026-01-20,2026-01-20,62,A000,,000,Fecha Documento,A000,,000,Fecha Documento,0,0.000,0,0.000,0,293706.000000,0.000000,0.000000,1,2026-01-29,IN,,,,,0.000000,293706.000000,MXN,,00000,SAP_WFRT,3.51058,,,,,,2025,2026-03-19T16:10:28.000Z,2026-03-19T16:10:28.000Z,5100010734DO022025,-293706,1113488,BGB,
DO,DO02,PMX02,COMPANIA CERVECERA DEL TRÓPICO,VICO,MX,Foreigner,5100001653,E470000028365,1,REPROGRAMACION RITM18766694,2025-08-30,2025-10-14,2025-10-14,2025,10,RE,,BCB561725,51056039412025,4500006088,MIRO,31,2000147898,2025-11-28,2025,,0,0,MXN,-293706.000000,DOP,-1002979.560000,USD,-15827.820000,H,0059020101,Cuentas por pagar comerciales intercompa  a,,,RA,2025-08-30,2025-08-30,91,A000,,000,Fecha Documento,A000,,000,Fecha Documento,0,0.000,0,0.000,0,293706.000000,0.000000,0.000000,1,2025-11-28,IN,,,,,0.000000,293706.000000,MXN,,00000,SAP_WFRT,3.41491,,,,,CIT01,2025,2026-03-19T16:10:28.000Z,2026-03-19T16:10:28.000Z,5100001653DO022025,-293706,561725,BCB,
DO,DO02,337176,Servicios integrales en compresores,VOTH,MX,Foreigner,5100005515,E470000029228,1,SERVICIO TECNICO A  12133,2025-10-23,2025-11-11,2025-11-11,2025,11,RE,,C1934,51056094552025,4500021280,MIRO,31,2000117578,2026-03-02,2026,,0,0,USD,-28652.500000,DOP,-1849739.500000,USD,-28652.500000,H,0055010101,Cuentas por pagar comerciales - terceros,,,RA,2025-11-01,2026-03-01,131,C120,FD - Fixed date 1 - (120days),120,Fecha Documento,P120,FD - Fixed date 1 - (120days),120,Fecha Contabilizacion,120,0.000,0,0.000,0,39250.000000,0.000000,0.000000,1,2026-03-02,OUT,,,,,0.000000,28652.500000,USD,,00000,SAP_WFRT,64.55770,,,,,CIT02,2025,2026-03-19T16:10:28.000Z,2026-03-19T16:10:28.000Z,5100005515DO022025,-28652,1934,C,
DO,DO02,337231,Vidriera Centroamericana S A,VOTH,CR,Foreigner,5100007473,E470000029684,1,,2025-11-25,2025-11-28,2025-11-28,2025,11,RE,,1200068744,51056131382025,          00000,MIRO,31,,,0000,,0,0,USD,-54144.500000,DOP,-3436892.550000,USD,-54144.500000,H,0055010101,Cuentas por pagar comerciales - terceros,,,RA,2025-12-13,2026-04-01,128,P109,Fixed Date 1 - (109 days),109,Fecha Contabilizacion,C120,FD - Fixed date 1 - (120days),120,Fecha Documento,109,0.000,0,0.000,0,54144.500000,0.000000,0.000000,,2026-04-01,OUT,,,,,0.000000,54144.500000,USD,,00000,SAP_WFRT,63.47630,,,,,,2025,2026-03-19T16:10:28.000Z,2026-03-19T16:10:28.000Z,5100007473DO022025,-54144,1200068744,,
DO,DO02,PMX03,"COMPAÑÍA CERVECERA DE ZACATECAS,",VICO,MX,Foreigner,5100006716,E470000029459,1,REPROGRAMACION RITM18955529,2025-10-22,2025-11-21,2025-11-21,2025,11,RE,,BGB1112179,51056113172025,,MIRO,31,2000011683,2026-01-12,2026,,0,0,MXN,-326357.640000,DOP,-1122683.340000,USD,-17779.960000,H,0059020101,Cuentas por pagar comerciales intercompa  a,,,RA,2025-12-22,2025-12-22,83,A000,,000,Fecha Documento,A000,,000,Fecha Documento,0,0.000,0,0.000,0,326357.640000,0.000000,0.000000,3,2026-01-12,IN,,,,,0.000000,326357.640000,MXN,,00000,SAP_WFRT,3.44004,,,,,CIT01,2025,2026-03-19T16:10:28.000Z,2026-03-19T16:10:28.000Z,5100006716DO022025,-326357,1112179,BGB,
DO,DO02,PMX02,COMPANIA CERVECERA DEL TRÓPICO,VICO,MX,Foreigner,5100001030,E470000028157,1,REPROGRAMACION RITM18766694,2025-09-30,2025-09-30,2025-10-01,2025,9,RE,,BCB562574,51056021642025,4500011831,MIRO,31,2000147898,2025-11-28,2025,,0,0,MXN,-355357.800000,DOP,-1216897.910000,USD,-19381.210000,H,0059020101,Cuentas por pagar comerciales intercompa  a,,,RA,2025-09-30,2025-09-30,60,A000,,000,Fecha Documento,A000,,000,Fecha Documento,0,0.000,0,0.000,0,355357.800000,0.000000,0.000000,1,2025-11-28,IN,,,,,0.000000,355357.800000,MXN,,00000,SAP_WFRT,3.42443,,,,,CIT01,2025,2026-03-19T16:10:28.000Z,2026-03-19T16:10:28.000Z,5100001030DO022025,-355357,562574,BCB,
