country_code,company_code,account_number,vendor_name,vendor_group,vendor_country_code,resident_foreigner_indicator,document_number,document_header_text,financial_line_number,item_text,document_date,posting_date,entry_date,fiscal_year,fiscal_period,document_type,document_status_indicator,reference_number,reference_key,assignment_number,transaction_code,posting_key,clearing_document,clearing_date,clearing_fiscal_year,invoice_number,invoice_line_number,invoice_fiscal_year,currency_key,amount_document_currency,local_currency,amount_local_currency,second_local_currency,second_local_currency_amount,debit_credit_indicator,general_ledger_account,general_ledger_account_name,special_gl_transaction_type,special_gl_indicator,sales_tax_code,baseline_date,due_date,real_difference,payment_terms_code,payment_terms_description,payment_terms_days,payment_terms_date_indicator,company_payment_terms_code,company_payment_terms_description,company_payment_terms_days,company_payment_terms_date_indicator,cash_discount_days_1,cash_discount_percentage_1,cash_discount_days_2,cash_discount_percentage_2,net_payment_terms_period,eligible_cash_discount_document_amount,cash_discount_local_amount,cash_discount_document_amount,payment_method,payment_date,payment_on_time,payment_block,last_dunned_date,partner_bank_type,settlement_reference_date,third_currency_penalty_amount,general_ledger_updating_amount,general_ledger_update_currency,purchasing_document_number,purchasing_line_number,username,exchange_rate,vendor_blocking_request_1,vendor_blocking_request_2,vendor_blocking_request_3,id_for_account_details,short_key_for_a_house_bank,__partition_column,__insert_gmt_ts,__update_gmt_ts,Key,amount_w_cents,reference_w_words,reference_words,uuid,ID,status,key,indexes,Logic,cross_ref_key,fbl1n
DO,DO02,PMX03,"COMPAÑÍA CERVECERA DE ZACATECAS,",VICO,MX,Foreigner,5100004813,E470000029151,1,REPROGRAMACION RITM18955529,2025-09-29,2025-11-06,2025-11-06,2025,11,RE,,BGB1111401,51056087072025,4500007637,MIRO,31,2000011683,2026-01-12,2026,,0,0,MXN,-486554.040000,DOP,-1689617.290000,USD,-26166.880000,H,0059020101,Cuentas por pagar comerciales intercompa  a,,,RA,2025-12-22,2025-12-22,106,A000,,000,Fecha Documento,A000,,000,Fecha Documento,0,0.000,0,0.000,0,486554.040000,0.000000,0.000000,3,2026-01-12,IN,,None,,None,0.000000,486554.040000,MXN,,00000,SAP_WFRT,3.47262,,,,,CIT01,2025,2026-03-19T16:10:28.000Z,2026-03-19T16:10:28.000Z,5100004813DO022025,-486554,1111401,BGB,,8,Duplicated,PMX03|-486554.040000|2025-09-29|MXN|DO02,17.0,account_number|amount_document_currency|document_date|currency_key|company_code,PMX03DO021111401,True
DO,DO02,337231,Vidriera Centroamericana S A,VOTH,CR,Foreigner,5100007897,E470000029909,1,C2583_127P_BOHEMIA,2025-11-25,2025-12-01,2025-12-01,2025,12,RE,,1200068734,51056136612025,4500001021,MIRO,31,,None,0000,,0,0,USD,-54144.500000,DOP,-3441749.300000,USD,-54144.500000,H,0055010101,Cuentas por pagar comerciales - terceros,,,RA,2025-12-13,2026-04-01,128,P109,Fixed Date 1 - (109 days),109,Fecha Contabilizacion,C120,FD - Fixed date 1 - (120days),120,Fecha Documento,109,0.000,0,0.000,0,54144.500000,0.000000,0.000000,,2026-04-01,OUT,,None,,None,0.000000,54144.500000,USD,,00000,SAP_WFRT,63.56600,,,,,,2025,2026-03-19T16:10:28.000Z,2026-03-19T16:10:28.000Z,5100007897DO022025,-54144,1200068734,,,10,Duplicated,337231|-54144.500000|2025-11-25|USD|DO02,20.0,account_number|amount_document_currency|document_date|currency_key|company_code,337231DO021200068734,True
DO,DO02,337231,Vidriera Centroamericana S A,VOTH,CR,Foreigner,5100007755,E470000029646,1,BOT. NUEVAS AMBAR 12 OZ,2025-11-25,2025-11-27,2025-11-27,2025,11,RE,,1200068748,51056128682025,4500001021,MIRO,31,,None,0000,,0,0,USD,-54144.500000,DOP,-3419441.750000,USD,-54144.500000,H,0055010101,Cuentas por pagar comerciales - terceros,,,RA,2025-12-13,2026-04-01,128,P109,Fixed Date 1 - (109 days),109,Fecha Contabilizacion,C120,FD - Fixed date 1 - (120days),120,Fecha Documento,109,0.000,0,0.000,0,54144.500000,0.000000,0.000000,,2026-04-01,OUT,,None,,None,0.000000,54144.500000,USD,,00000,SAP_WFRT,63.15400,,,,,,2025,2026-03-19T16:10:28.000Z,2026-03-19T16:10:28.000Z,5100007755DO022025,-54144,1200068748,,,10,Original,337231|-54144.500000|2025-11-25|USD|DO02,21.0,account_number|amount_document_currency|document_date|currency_key|company_code,337231DO021200068748,True
DO,DO02,337231,Vidriera Centroamericana S A,VOTH,CR,Foreigner,5100007473,E470000029684,1,,2025-11-25,2025-11-28,2025-11-28,2025,11,RE,,1200068744,51056131382025,00000,MIRO,31,,None,0000,,0,0,USD,-54144.500000,DOP,-3436892.550000,USD,-54144.500000,H,0055010101,Cuentas por pagar comerciales - terceros,,,RA,2025-12-13,2026-04-01,128,P109,Fixed Date 1 - (109 days),109,Fecha Contabilizacion,C120,FD - Fixed date 1 - (120days),120,Fecha Documento,109,0.000,0,0.000,0,54144.500000,0.000000,0.000000,,2026-04-01,OUT,,None,,None,0.000000,54144.500000,USD,,00000,SAP_WFRT,63.47630,,,,,,2025,2026-03-19T16:10:28.000Z,2026-03-19T16:10:28.000Z,5100007473DO022025,-54144,1200068744,,,10,Duplicated,337231|-54144.500000|2025-11-25|USD|DO02,22.0,account_number|amount_document_currency|document_date|currency_key|company_code,337231DO021200068744,True
DO,DO02,PMX02,COMPANIA CERVECERA DEL TRÓPICO,VICO,MX,Foreigner,5100006884,E470000029680,1,REPROGRAMACION RITM18955529,2025-11-20,2025-11-28,2025-11-28,2025,11,RE,,BCB563984,51056130512025,4500033780,MIRO,31,2000011682,2026-01-12,2026,,0,0,MXN,-294129.360000,DOP,-1017634.640000,USD,-16032.990000,H,0059020101,Cuentas por pagar comerciales intercompa  a,,,RA,2025-12-22,2025-12-22,54,A000,,000,Fecha Documento,A000,,000,Fecha Documento,0,0.000,0,0.000,0,294129.360000,0.000000,0.000000,3,2026-01-12,IN,,None,,None,0.000000,294129.360000,MXN,,00000,SAP_WFRT,3.45982,,,,,CIT01,2025,2026-03-19T16:10:28.000Z,2026-03-19T16:10:28.000Z,5100006884DO022025,-294129,563984,BCB,,11,Duplicated,PMX02|-294129.360000|2025-11-20|MXN|DO02,23.0,account_number|amount_document_currency|document_date|currency_key|company_code,PMX02DO02563984,True
DO,DO02,PMX02,COMPANIA CERVECERA DEL TRÓPICO,VICO,MX,Foreigner,5100007671,E470000029634,1,REPROGRAMACION RITM18955529,2025-11-20,2025-11-27,2025-11-27,2025,11,RE,,BCB563996,51056127872025,4500033819,MIRO,31,2000011682,2026-01-12,2026,,0,0,MXN,-294129.360000,DOP,-1011955.000000,USD,-16024.170000,H,0059020101,Cuentas por pagar comerciales intercompa  a,,,RA,2025-12-22,2025-12-22,54,A000,,000,Fecha Documento,A000,,000,Fecha Documento,0,0.000,0,0.000,0,294129.360000,0.000000,0.000000,3,2026-01-12,IN,,None,,None,0.000000,294129.360000,MXN,,00000,SAP_WFRT,3.44051,,,,,CIT01,2025,2026-03-19T16:10:28.000Z,2026-03-19T16:10:28.000Z,5100007671DO022025,-294129,563996,BCB,,11,Original,PMX02|-294129.360000|2025-11-20|MXN|DO02,24.0,account_number|amount_document_currency|document_date|currency_key|company_code,PMX02DO02563996,True
DO,DO02,PBRZA,Adm. AC Adm. Central HQ,VICO,BR,Foreigner,5100008180,E470000029873,1,LATA MALTA BUCANERO 12OZ,2025-09-19,2025-11-30,2025-12-01,2025,11,RE,,1013397138,51056135062025,4500025620,MIRO,31,,None,0000,,0,0,USD,-86811.720000,DOP,-5518273.800000,USD,-86811.720000,H,0059020101,Cuentas por pagar comerciales intercompa  a,,,RA,2025-09-20,2025-11-19,62,H060,FD - Fixed date 14 - (60days),060,Fecha Documento,A000,,000,Fecha Documento,60,0.000,0,0.000,0,86811.720000,0.000000,0.000000,1,2025-11-19,OUT,,None,0001,None,0.000000,86811.720000,USD,,00000,SAP_WFRT,63.56600,,,,,CIT02,2025,2026-03-19T16:10:28.000Z,2026-03-19T16:10:28.000Z,5100008180DO022025,-86811,1013397138,,,12,Original,PBRZA|-86811.720000|2025-09-19|USD|DO02,25.0,account_number|amount_document_currency|document_date|currency_key|company_code,PBRZADO021013397138,True
DO,DO02,PBRZA,Adm. AC Adm. Central HQ,VICO,BR,Foreigner,5100007971,E470000029872,1,LATA MALTA BUCANERO 12OZ,2025-09-19,2025-11-30,2025-12-01,2025,11,RE,,1013397140,51056135052025,4500025620,MIRO,31,,None,0000,,0,0,USD,-86811.720000,DOP,-5518273.800000,USD,-86811.720000,H,0059020101,Cuentas por pagar comerciales intercompa  a,,,RA,2025-09-20,2025-11-19,62,H060,FD - Fixed date 14 - (60days),060,Fecha Documento,A000,,000,Fecha Documento,60,0.000,0,0.000,0,86811.720000,0.000000,0.000000,1,2025-11-19,OUT,,None,0001,None,0.000000,86811.720000,USD,,00000,SAP_WFRT,63.56600,,,,,CIT02,2025,2026-03-19T16:10:28.000Z,2026-03-19T16:10:28.000Z,5100007971DO022025,-86811,1013397140,,,12,Duplicated,PBRZA|-86811.720000|2025-09-19|USD|DO02,26.0,account_number|amount_document_currency|document_date|currency_key|company_code,PBRZADO021013397140,True
DO,DO02,PMX02,COMPANIA CERVECERA DEL TRÓPICO,VICO,MX,Foreigner,5100010202,E4700030333,1,REPROGRAMACION RITM19113783 ICO RD,2025-10-28,2025-12-22,2025-12-22,2025,12,RE,,BCB563422,51056179652025,4500006088,MIRO,31,2000010089,2026-01-29,2026,,0,0,MXN,-293706.000000,DOP,-1025377.580000,USD,-16312.430000,H,0059020101,Cuentas por pagar comerciales intercompa  a,,,RA,2026-01-20,2026-01-20,94,A000,,000,Fecha Documento,A000,,000,Fecha Documento,0,0.000,0,0.000,0,293706.000000,0.000000,0.000000,1,2026-01-29,IN,,None,,None,0.000000,293706.000000,MXN,,00000,SAP_WFRT,3.49117,,,,,,2025,2026-03-19T16:10:28.000Z,2026-03-19T16:10:28.000Z,5100010202DO022025,-293706,563422,BCB,,14,Original,PMX02|-293706.000000|2025-10-28|MXN|DO02,30.0,account_number|amount_document_currency|document_date|currency_key|company_code,PMX02DO02563422,True
DO,DO02,PMX02,COMPANIA CERVECERA DEL TRÓPICO,VICO,MX,Foreigner,5100011475,E4700030383,1,REPROGRAMACION RITM19113783 ICO RD,2025-10-28,2025-12-24,2025-12-24,2025,12,RE,,BCB563410,51056183152025,4500006088,MIRO,31,2000010089,2026-01-29,2026,,0,0,MXN,-293706.000000,DOP,-1027410.020000,USD,-16335.930000,H,0059020101,Cuentas por pagar comerciales intercompa  a,,,RA,2026-01-20,2026-01-20,94,A000,,000,Fecha Documento,A000,,000,Fecha Documento,0,0.000,0,0.000,0,293706.000000,0.000000,0.000000,1,2026-01-29,IN,,None,,None,0.000000,293706.000000,MXN,,00000,SAP_WFRT,3.49809,,,,,,2025,2026-03-19T16:10:28.000Z,2026-03-19T16:10:28.000Z,5100011475DO022025,-293706,563410,BCB,,14,Duplicated,PMX02|-293706.000000|2025-10-28|MXN|DO02,31.0,account_number|amount_document_currency|document_date|currency_key|company_code,PMX02DO02563410,True
DO,DO02,PMX03,"COMPAÑÍA CERVECERA DE ZACATECAS,",VICO,MX,Foreigner,5100011472,E4700030428,1,REPROGRAMACION RITM19113783 ICO RD,2025-11-23,2025-12-26,2025-12-26,2025,12,RE,,BGB1113280,51056185342025,4500037612,MIRO,31,2000055410,2026-01-29,2026,,0,0,MXN,-293706.000000,DOP,-1031078.410000,USD,-16385.860000,H,0059020101,Cuentas por pagar comerciales intercompa  a,,,RA,2026-01-20,2026-01-20,68,A000,,000,Fecha Documento,A000,,000,Fecha Documento,0,0.000,0,0.000,0,293706.000000,0.000000,0.000000,1,2026-01-29,IN,,None,,None,0.000000,293706.000000,MXN,,00000,SAP_WFRT,3.51058,,,,,,2025,2026-03-19T16:10:28.000Z,2026-03-19T16:10:28.000Z,5100011472DO022025,-293706,1113280,BGB,,15,Original,PMX03|-293706.000000|2025-11-23|MXN|DO02,32.0,account_number|amount_document_currency|document_date|currency_key|company_code,PMX03DO021113280,True
DO,DO02,PMX03,"COMPAÑÍA CERVECERA DE ZACATECAS,",VICO,MX,Foreigner,5100011736,E4700030427,1,REPROGRAMACION RITM19113783 ICO RD,2025-11-23,2025-12-26,2025-12-26,2025,12,RE,,BGB1113296,51056185332025,4500037612,MIRO,31,2000055410,2026-01-29,2026,,0,0,MXN,-293706.000000,DOP,-1031078.410000,USD,-16385.860000,H,0059020101,Cuentas por pagar comerciales intercompa  a,,,RA,2026-01-20,2026-01-20,68,A000,,000,Fecha Documento,A000,,000,Fecha Documento,0,0.000,0,0.000,0,293706.000000,0.000000,0.000000,1,2026-01-29,IN,,None,,None,0.000000,293706.000000,MXN,,00000,SAP_WFRT,3.51058,,,,,,2025,2026-03-19T16:10:28.000Z,2026-03-19T16:10:28.000Z,5100011736DO022025,-293706,1113296,BGB,,15,Duplicated,PMX03|-293706.000000|2025-11-23|MXN|DO02,33.0,account_number|amount_document_currency|document_date|currency_key|company_code,PMX03DO021113296,True
DO,DO02,PMX03,"COMPAÑÍA CERVECERA DE ZACATECAS,",VICO,MX,Foreigner,5100012470,E4700030617,1,REPROGRAMACION RITM19113783 ICO RD,2025-12-22,2025-12-31,2026-01-02,2025,12,RE,,BGB1114263,51056195272025,4500049176,MIRO,31,2000055410,2026-01-29,2026,,0,0,MXN,-326357.640000,DOP,-1147679.070000,USD,-18129.170000,H,0059020101,Cuentas por pagar comerciales intercompa  a,,,RA,2026-01-20,2026-01-20,39,A000,,000,Fecha Documento,A000,,000,Fecha Documento,0,0.000,0,0.000,0,326357.640000,0.000000,0.000000,1,2026-01-29,IN,,None,,None,0.000000,326357.640000,MXN,,00000,SAP_WFRT,3.51663,,,,,,2025,2026-03-19T16:10:28.000Z,2026-03-19T16:10:28.000Z,5100012470DO022025,-326357,1114263,BGB,,16,Duplicated,PMX03|-326357.640000|2025-12-22|MXN|DO02,34.0,account_number|amount_document_currency|document_date|currency_key|company_code,PMX03DO021114263,True
DO,DO02,PMX03,"COMPAÑÍA CERVECERA DE ZACATECAS,",VICO,MX,Foreigner,5100012217,E4700030731,1,REPROGRAMACION RITM19113783 ICO RD,2025-12-22,2025-12-31,2026-01-02,2025,12,RE,,BGB1114260,51056196542025,,MIRO,31,2000055410,2026-01-29,2026,,0,0,MXN,-326357.640000,DOP,-1147679.070000,USD,-18129.170000,H,0059020101,Cuentas por pagar comerciales intercompa  a,,,RA,2026-01-20,2026-01-20,39,A000,,000,Fecha Documento,A000,,000,Fecha Documento,0,0.000,0,0.000,0,326357.640000,0.000000,0.000000,1,2026-01-29,IN,,None,,None,0.000000,326357.640000,MXN,,00000,SAP_WFRT,3.51663,,,,,,2025,2026-03-19T16:10:28.000Z,2026-03-19T16:10:28.000Z,5100012217DO022025,-326357,1114260,BGB,,16,Original,PMX03|-326357.640000|2025-12-22|MXN|DO02,35.0,account_number|amount_document_currency|document_date|currency_key|company_code,PMX03DO021114260,True
